CO_CURSO,LATITUDE,LONGITUDE,CO_MUNICIPIO,NO_CURSO,CO_CINE_ROTULO,TP_GRAU_ACADEMICO,TP_MODALIDADE_ENSINO,TP_NIVEL_ACADEMICO,IN_MATERIAL_TATIL,IN_RECURSOS_COMUNICACAO,IN_RECURSOS_INFORMATICA,RELACAO,Coluna
"1,521,433",-23.54,-46.63,3550308,CIÊNCIA DE DADOS,0617C01,1,1,1,1,1,1,20211521433,Sim
"1,521,433",-23.54,-46.63,3550308,CIÊNCIA DE DADOS,0617C01,1,1,1,1,1,1,20221521433,Sim
"1,521,433",-23.54,-46.63,3550308,CIÊNCIA DE DADOS,0617C01,1,1,1,1,1,1,20231521433,Sim
"1,599,656",-23.54,-46.63,3550308,CIÊNCIA DE DADOS,0617C01,1,1,1,1,1,1,20221599656,Sim
"1,599,656",-23.54,-46.63,3550308,CIÊNCIA DE DADOS,0617C01,1,1,1,1,1,1,20231599656,Sim
"1,603,036",-23.54,-46.63,3550308,CIÊNCIA DE DADOS,0617C01,1,1,1,1,1,1,20221603036,Sim
"1,603,036",-23.54,-46.63,3550308,CIÊNCIA DE DADOS,0617C01,1,1,1,1,1,1,20231603036,Sim
"1,538,622",-22.01,-47.89,3548906,CIÊNCIA DE DADOS,0617C01,1,1,1,0,1,1,20211538622,Sim
"1,538,622",-22.01,-47.89,3548906,CIÊNCIA DE DADOS,0617C01,1,1,1,0,1,1,20221538622,Sim
"1,538,622",-22.01,-47.89,3548906,CIÊNCIA DE DADOS,0617C01,1,1,1,0,1,1,20231538622,Sim
"1,600,504",-19.81,-43.95,3106200,CIÊNCIA DE DADOS,0617C01,1,1,1,1,1,1,20221600504,Sim
"1,600,504",-19.81,-43.95,3106200,CIÊNCIA DE DADOS,0617C01,1,1,1,1,1,1,20231600504,Sim
"1,127,861",-3.71,-38.54,2304400,CIÊNCIA DE DADOS,0617C01,1,1,1,0,0,0,20231127861,Sim
"1,571,410",-3.68,-39.58,2306306,CIÊNCIA DE DADOS,0617C01,3,1,1,0,0,0,20211571410,Sim
"1,571,410",-3.68,-39.58,2306306,CIÊNCIA DE DADOS,0617C01,3,1,1,0,0,0,20221571410,Sim
"1,571,410",-3.68,-39.58,2306306,CIÊNCIA DE DADOS,0617C01,3,1,1,0,0,0,20231571410,Sim
"1,550,460",-7.11,-34.86,2507507,CIÊNCIA DE DADOS,0617C01,3,1,1,0,0,1,20211550460,Sim
"1,550,460",-7.11,-34.86,2507507,CIÊNCIA DE DADOS,0617C01,3,1,1,0,1,1,20221550460,Sim
"1,550,460",-7.11,-34.86,2507507,CIÊNCIA DE DADOS,0617C01,3,1,1,0,1,1,20231550460,Sim
"1,545,554",-23.44,-46.91,3547304,CIÊNCIA DE DADOS,0617C01,3,1,1,0,0,0,20231545554,Sim
"1,545,554",-23.44,-46.91,3547304,CIÊNCIA DE DADOS,0617C01,3,1,1,0,0,1,20201545554,Sim
"1,545,554",-23.44,-46.91,3547304,CIÊNCIA DE DADOS,0617C01,3,1,1,0,0,1,20221545554,Sim
"1,545,554",-23.44,-46.91,3547304,CIÊNCIA DE DADOS,0617C01,3,1,1,0,0,1,20211545554,Sim
"1,618,685",-23.6,-46.91,3513009,CIÊNCIA DE DADOS,0617C01,3,1,1,0,0,1,20221618685,Sim
"1,618,685",-23.6,-46.91,3513009,CIÊNCIA DE DADOS,0617C01,3,1,1,0,0,1,20231618685,Sim
"1,545,554",-23.44,-46.91,3547304,CIÊNCIA DE DADOS,0617C01,3,1,1,0,0,0,20231545554,Sim
"1,545,554",-23.44,-46.91,3547304,CIÊNCIA DE DADOS,0617C01,3,1,1,0,0,1,20201545554,Sim
"1,545,554",-23.44,-46.91,3547304,CIÊNCIA DE DADOS,0617C01,3,1,1,0,0,1,20211545554,Sim
"1,545,554",-23.44,-46.91,3547304,CIÊNCIA DE DADOS,0617C01,3,1,1,0,0,1,20221545554,Sim
"1,618,685",-23.6,-46.91,3513009,CIÊNCIA DE DADOS,0617C01,3,1,1,0,0,1,20221618685,Sim
"1,618,685",-23.6,-46.91,3513009,CIÊNCIA DE DADOS,0617C01,3,1,1,0,0,1,20231618685,Sim
"1,589,553",-23.96,-46.33,3548500,CIÊNCIA DE DADOS,0617C01,3,1,1,,,,20211589553,Não
"1,589,553",-23.96,-46.33,3548500,CIÊNCIA DE DADOS,0617C01,3,1,1,,,,20221589553,Não
"1,589,553",-23.96,-46.33,3548500,CIÊNCIA DE DADOS,0617C01,3,1,1,0,0,0,20231589553,Sim
"1,543,013",-22.97,-49.87,3534708,CIÊNCIA DE DADOS,0617C01,3,1,1,0,1,1,20201543013,Sim
"1,543,013",-22.97,-49.87,3534708,CIÊNCIA DE DADOS,0617C01,3,1,1,0,1,1,20231543013,Sim
"1,543,013",-22.97,-49.87,3534708,CIÊNCIA DE DADOS,0617C01,3,1,1,1,1,1,20211543013,Sim
"1,543,013",-22.97,-49.87,3534708,CIÊNCIA DE DADOS,0617C01,3,1,1,1,1,1,20221543013,Sim
"1,536,760",-21.68,-51.07,3500105,CIÊNCIA DE DADOS,0617C01,3,1,1,,,,20201536760,Não
"1,536,760",-21.68,-51.07,3500105,CIÊNCIA DE DADOS,0617C01,3,1,1,,,,20221536760,Não
"1,536,760",-21.68,-51.07,3500105,CIÊNCIA DE DADOS,0617C01,3,1,1,,,,20211536760,Não
"1,536,760",-21.68,-51.07,3500105,CIÊNCIA DE DADOS,0617C01,3,1,1,,,,20231536760,Não